Date,Open,High,Low,Close,Volume
40581,49.69857,50.464287,49.662857,50.26857,121255400
40582,50.525715,50.78857,50.307144,50.742859,95260200
40583,50.741428,51.285713,50.695713,51.165714,120686300
40584,51.055714,51.42857,49.714287,50.648571,232137500
40585,50.67857,51.114285,50.505714,50.978573,91893200
40588,50.970001,51.354286,50.958572,51.311428,77604100
40589,51.312859,51.424286,51.078571,51.414288,71043700
40590,51.542858,52.128571,51.5,51.875713,120289400
40591,51.035713,51.467144,50.931427,51.185715,132645800
40592,51.244286,51.357143,49.931427,50.080002,204014300
40596,48.878571,49.342857,48.245716,48.372856,218138900
40597,48.395714,49.234287,48.372856,48.945713,167963600
40598,49.145714,49.307144,48.33857,48.982857,124975200
40599,49.322857,49.775715,49.257141,49.737144,95004700
40602,50.177143,50.721428,50.16,50.458572,100768500
40603,50.781429,50.817142,49.668571,49.901428,114034200
40604,49.994286,50.621429,49.771427,50.302856,150647700
40605,51.027142,51.398571,50.845715,51.365715,125197100
40606,51.438572,51.470001,51.107143,51.42857,113316700
40609,51.628571,51.667141,50.187141,50.765713,136530800
40610,50.701427,51.057144,50.32143,50.822857,89079200
40611,50.669998,50.68,50.085712,50.352856,113326500
40612,49.874287,49.967144,49.271427,49.524284,126884800
40613,49.332859,50.331429,49.285713,50.284286,117770100
40616,50.454285,50.925713,50.187141,50.508572,108989300
40617,48.871429,49.691429,48.585712,49.347141,180270300
40618,48.857143,49,46.60857,47.144287,290502800
40619,48.118572,48.515713,47.237144,47.805714,164855600
40620,48.16143,48.314285,47.142857,47.238571,188303500
40623,47.998573,48.534286,47.894287,48.471428,102350500
40624,48.937141,48.945713,48.44857,48.742859,81480700
40625,48.468571,48.602856,47.992859,48.455715,93249100
40626,48.835712,49.42857,48.408573,49.281429,101178000
40627,49.724285,50.294285,49.574287,50.220001,112227500
40630,50.450001,50.617142,50.062859,50.062859,77338800
40631,49.665714,50.137142,49.437141,50.137142,88225200
40632,50.091427,50.125713,49.634285,49.804287,82351500
40633,49.48,49.971428,49.437141,49.787144,68504800
40634,50.158573,50.227142,49.042858,49.222858,104665400
40637,49.187141,49.228573,48.342857,48.741428,115021200
40638,48.14143,48.892857,48,48.412857,120682800
40639,48.745716,49.128571,48.162857,48.291428,100634800
40640,48.299999,48.632858,48.004284,48.297142,93361800
40641,48.560001,48.592857,47.707142,47.865715,94383800
40644,47.722858,47.952858,47.145714,47.257141,99736700
40645,47.212856,47.675713,47.171429,47.485714,106409800
40646,47.860001,48.02,47.502857,48.01857,86555000
40647,47.828571,48,47.437141,47.488571,75450200
40648,47.614285,47.662857,46.685715,46.779999,113401400
40651,46.585712,47.46143,45.737144,47.407143,152474700
40652,47.585712,48.282856,47.387142,48.265713,104844600
40653,49.072857,49.392857,48.785713,48.915714,175166600
40654,50.714287,50.732857,49.78857,50.099998,188452600
40658,50.048573,50.535713,50.042858,50.43,66636500
40659,50.517143,50.712856,49.907143,50.060001,84700000
40660,50.32,50.335712,49.585712,50.021427,89053300
40661,49.455715,49.964287,49.360001,49.535713,90239800
40662,49.540001,50.564285,49.524284,50.01857,251586300
40665,49.962856,50.067142,49.357143,49.468571,110678400
